==> Args
    - save_data : ../data/iwslt14
    - work_dir : PATH_TO_ACTOR_FOLDER/20210408-131727
    - nemb : 256
    - nhid : 256
    - natthid : 256
    - nlayer : 1
    - drope : 0.0
    - droph : 0.3
    - att_mode : dotprod
    - input_feed : False
    - seed : 1234
    - cuda : True
    - epochs : 30
    - train_bs : 2
    - valid_bs : 2
    - test_bs : 2
    - param_init : 0.1
    - optim : sgd
    - lr : 0.6
    - grad_clip : 5.0
    - start_decay : 0
    - lr_decay : 0.5
    - num_decay : 6
    - log_interval : 200
    - debug : False
    - test_only : False
    - beamsize : 5
    - ppl_anneal : False
==> Vocabulary
    - vocab size: src=32038, tgt=22811
    - special symbols [src]: <pad>=0, <unk>=1
    - special symbols [tgt]: <pad>=0, <unk>=1, <bos>=2, <eos>=3
==> Initalize actor
    - number of params: 20956443
=========================================================================================
| epoch   0 | 10200/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.79 | ppl   120.01 
| epoch   0 | 10400/76674 batches | lr 0.600000 | ms/batch   7.7 | loss  4.72 | ppl   112.14 
| epoch   0 | 10600/76674 batches | lr 0.600000 | ms/batch   7.7 | loss  4.66 | ppl   106.03 
| epoch   0 | 10800/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.61 | ppl   100.90 
| epoch   0 | 11000/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.71 | ppl   110.88 
| epoch   0 | 11200/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.66 | ppl   105.73 
| epoch   0 | 11400/76674 batches | lr 0.600000 | ms/batch   7.5 | loss  4.69 | ppl   109.09 
| epoch   0 | 11600/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.70 | ppl   109.93 
| epoch   0 | 11800/76674 batches | lr 0.600000 | ms/batch   7.5 | loss  4.63 | ppl   102.07 
| epoch   0 | 12000/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.66 | ppl   105.89 
| epoch   0 | 12200/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.60 | ppl    99.42 
| epoch   0 | 12400/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.69 | ppl   108.93 
| epoch   0 | 12600/76674 batches | lr 0.600000 | ms/batch   7.7 | loss  4.67 | ppl   106.82 
| epoch   0 | 12800/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.68 | ppl   107.75 
| epoch   0 | 13000/76674 batches | lr 0.600000 | ms/batch   7.5 | loss  4.52 | ppl    91.59 
| epoch   0 | 13200/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.62 | ppl   101.43 
| epoch   0 | 13400/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.69 | ppl   108.34 
| epoch   0 | 13600/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.56 | ppl    95.24 
| epoch   0 | 13800/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.65 | ppl   104.19 
| epoch   0 | 14000/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.53 | ppl    92.51 
| epoch   0 | 14200/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.60 | ppl    99.72 
| epoch   0 | 14400/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.62 | ppl   101.29 
| epoch   0 | 14600/76674 batches | lr 0.600000 | ms/batch   7.5 | loss  4.56 | ppl    95.56 
| epoch   0 | 14800/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.61 | ppl   100.46 
| epoch   0 | 15000/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.62 | ppl   101.59 
| epoch   0 | 15200/76674 batches | lr 0.600000 | ms/batch   7.7 | loss  4.53 | ppl    92.97 
| epoch   0 | 15400/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.63 | ppl   102.93 
| epoch   0 | 15600/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.57 | ppl    96.97 
| epoch   0 | 15800/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.58 | ppl    97.28 
| epoch   0 | 16000/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.53 | ppl    93.01 
| epoch   0 | 16200/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.56 | ppl    95.85 
| epoch   0 | 16400/76674 batches | lr 0.600000 | ms/batch   7.7 | loss  4.61 | ppl   100.34 
| epoch   0 | 16600/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.57 | ppl    96.55 
| epoch   0 | 16800/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.59 | ppl    98.58 
| epoch   0 | 17000/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.53 | ppl    93.10 
| epoch   0 | 17200/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.56 | ppl    96.01 
| epoch   0 | 17400/76674 batches | lr 0.600000 | ms/batch   7.5 | loss  4.51 | ppl    91.00 
| epoch   0 | 17600/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.56 | ppl    95.84 
| epoch   0 | 17800/76674 batches | lr 0.600000 | ms/batch   7.7 | loss  4.60 | ppl    99.24 
| epoch   0 | 18000/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.58 | ppl    97.04 
| epoch   0 | 18200/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.55 | ppl    95.03 
| epoch   0 | 18400/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.59 | ppl    98.46 
| epoch   0 | 18600/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.50 | ppl    90.37 
| epoch   0 | 18800/76674 batches | lr 0.600000 | ms/batch   7.5 | loss  4.60 | ppl    99.59 
